,Location,Sex Assigned at Birth,Age,Education,Race/Origin,Citizenship,Marital Status,Religion,Religious Service Attendance,Politics,Income,Political Views,Household Size,Employment Status
1680,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,Postgraduate,White,Yes,Never been married,Agnostic,Seldom,Democrat,"\$30,000-\$50,000",Liberal,1,Retired
1681,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,65+,College graduate/some postgrad,White,"Yes, a citizen of the United States",,Atheist,Never,Democrat,"Less than $30,000",Liberal,1 person,Retired
1682,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",,Other,Seldom,,,Conservative,3 people,Unemployed
1683,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",Widowed,Protestant,A few times a year,Republican,"Less than $30,000",Very conservative,4 people,Full-time employment
1685,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Married,Muslim,A few times a year,Democrat,,Liberal,4 people,Full-time employment
1686,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,High school graduate,Black,"Yes, a citizen of the United States",Never been married,Other,Never,Democrat,,Very liberal,3,Unemployed
1690,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Married,Protestant,Once a week,,,Moderate,More than 4,Full-time employment
1697,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",Hispanic,"Yes, a citizen of the United States",,Roman Catholic,Never,Independent,,Moderate,4 people,Unemployed
1702,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,Postgraduate,White,,Never been married,Protestant,Once a week,Democrat,,Very liberal,3,Self-employed
1705,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,College graduate/some postgrad,White,,Married,Roman Catholic,Seldom,Independent,,Conservative,2,Part-time employment
1707,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",,Atheist,Never,,,Very liberal,2 people,Unemployed
1709,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,High school graduate,White,"Yes, a citizen of the United States",Never been married,Other,Never,,,Conservative,More than 4,Unemployed
1711,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,Postgraduate,White,,Married,Protestant,Once a week,Republican,,Very conservative,3,Full-time employment
1714,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,Black,"Yes, a citizen of the United States",,Roman Catholic,Once a week,Democrat,"\$30,000-\$50,000",Moderate,2 people,Full-time employment
1716,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,Other,,,Agnostic,A few times a year,,,Liberal,4,Self-employed
1717,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,College graduate/some postgrad,White,,Never been married,Nothing in particular,Never,Democrat,,Liberal,2,Unemployed
1718,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,18-29,"Some college, no degree",White,"Yes, a citizen of the United States",,Agnostic,Never,,,Very liberal,2 people,Self-employed
1720,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Nothing in particular,Never,Democrat,,Liberal,4 people,Full-time employment
1721,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,High school graduate,White,"Yes, a citizen of the United States",Never been married,Protestant,A few times a year,Democrat,,Very liberal,More than 4,Student
1722,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,18-29,College graduate/some postgrad,Other,,Never been married,Nothing in particular,Never,Democrat,,Very liberal,4,Full-time employment
1724,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,"Some college, no degree",White,,Never been married,Atheist,Never,Independent,,Moderate,3 people,Retired
1725,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,"Some college, no degree",White,,,Roman Catholic,A few times a year,,,Moderate,3 people,Full-time employment
1726,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,Postgraduate,White,"Yes, a citizen of the United States",Married,Protestant,Once a week,Republican,,Conservative,2 people,Home-maker
1727,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Married,Roman Catholic,A few times a year,Independent,,Moderate,2 people,Full-time employment
1729,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Never been married,Protestant,A few times a year,,,Moderate,3 people,Full-time employment
1731,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,Postgraduate,White,"Yes, a citizen of the United States",Married,Jewish,A few times a year,,,Very liberal,3 people,Unemployed
1733,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,High school graduate,White,,Married,Other,Once a week,,,Very conservative,2,Retired
1736,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,College graduate/some postgrad,Other,,,Roman Catholic,Once a week,Democrat,,Moderate,2,Full-time employment
1740,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,Postgraduate,Asian,"Yes, a citizen of the United States",Married,Atheist,Never,Democrat,,Very liberal,3 people,Part-time employment
1741,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,Associate's degree,White,,Married,Nothing in particular,Never,Democrat,,Liberal,2,Part-time employment
1742,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,18-29,College graduate/some postgrad,Black,"Yes, a citizen of the United States",,Muslim,Once a week,,,Moderate,3 people,Self-employed
1743,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,Postgraduate,White,,Widowed,Roman Catholic,Once a week,Republican,,Conservative,3,Full-time employment
1744,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,"Some college, no degree",White,"Yes, a citizen of the United States",Divorced,Roman Catholic,Never,Democrat,"\$30,000-\$50,000",Moderate,2 people,Unemployed
1747,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,65+,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Other,Once a week,Republican,,Very conservative,3 people,Part-time employment
1749,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,Postgraduate,White,,,Nothing in particular,Never,,,Moderate,1,Retired
1751,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",,Nothing in particular,Seldom,,,Moderate,1 person,Full-time employment
1756,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,"Some college, no degree",White,"Yes, a citizen of the United States",Never been married,Agnostic,Never,,,Liberal,3 people,Part-time employment
1758,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,White,,Married,Mormon,Once or twice a month,,,Liberal,3,Full-time employment
1759,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,Postgraduate,Black,"Yes, a citizen of the United States",Married,Protestant,Once a week,Democrat,"\$100,000 or more",Liberal,More than 4,Full-time employment
1763,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,"Some college, no degree",Other,,Never been married,Atheist,Never,Democrat,,Very liberal,4,Full-time employment
1764,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,65+,"Some college, no degree",White,,Married,Agnostic,Never,,,Moderate,2,Retired
1767,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,Postgraduate,White,,Married,Roman Catholic,Once or twice a month,Democrat,,Liberal,2,Part-time employment
1768,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Associate's degree,White,"Yes, a citizen of the United States",Married,Atheist,Never,Democrat,,Liberal,2 people,Full-time employment
1769,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,Associate's degree,White,Yes,,Agnostic,Never,Democrat,"$50,000-$75,000",Moderate,More than 4,Retired
1770,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",Widowed,Protestant,Once a week,,,Moderate,1 person,Part-time employment
1774,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,,Married,Other,A few times a year,Republican,,Conservative,2,Full-time employment
1775,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,Postgraduate,White,"Yes, a citizen of the United States",Married,Jewish,Seldom,,,Liberal,4 people,Full-time employment
1776,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,18-29,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Never been married,Roman Catholic,Seldom,Democrat,,Liberal,3 people,Unemployed
1777,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,"Some college, no degree",Other,,Never been married,Agnostic,Never,,,Liberal,2,Part-time employment
1778,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,Postgraduate,White,"Yes, a citizen of the United States",Married,Protestant,Once a week,,,Conservative,More than 4,Full-time employment
1779,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,Associate's degree,White,"Yes, a citizen of the United States",,Protestant,A few times a year,Democrat,"\$30,000-\$50,000",Moderate,3 people,Self-employed
1781,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Postgraduate,White,"Yes, a citizen of the United States",Married,Protestant,Once a week,Democrat,"\$100,000 or more",Liberal,3 people,Full-time employment
1783,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Never been married,Agnostic,Never,,,Moderate,3 people,Full-time employment
1784,"Lives in the South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,Independent,,Very liberal,2 people,Self-employed
1785,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,"Some college, no degree",Black,"Yes, a citizen of the United States",Never been married,Protestant,Once a week,,,Moderate,4 people,Student
1788,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,"Some college, no degree",Black,,Never been married,Protestant,Seldom,Independent,,Moderate,2,Part-time employment
1791,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",,Agnostic,Never,,,Moderate,4 people,Full-time employment
1796,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,White,,Married,Protestant,A few times a year,Independent,,Liberal,4,Self-employed
1798,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Postgraduate,White,"Yes, a citizen of the United States",Married,Protestant,A few times a year,,,Conservative,2 people,Home-maker
1799,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,Postgraduate,White,,Married,Protestant,More than once a week,Republican,,Very conservative,4,Full-time employment
1804,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,"Some college, no degree",White,,Never been married,Protestant,Once or twice a month,Republican,,Conservative,3,Student
1809,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Agnostic,Never,,,Very liberal,4 people,Full-time employment
1813,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,White,,Married,Agnostic,Seldom,Independent,,Conservative,4,Full-time employment
1816,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,High school graduate,White,"Yes, a citizen of the United States",Married,Other,Once a week,Republican,,Conservative,More than 4,Home-maker
1818,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Never been married,Nothing in particular,Seldom,Something else,,Very liberal,4 people,Self-employed
1819,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,White,,,Protestant,Seldom,Democrat,,Liberal,2,Full-time employment
1820,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Never been married,Protestant,More than once a week,,,Moderate,1 person,Full-time employment
1821,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,"Some college, no degree",White,,Married,Protestant,A few times a year,Democrat,"Less than $30,000",Liberal,3,Self-employed
1822,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,High school graduate,Black,"Yes, a citizen of the United States",Never been married,Other,Seldom,Republican,,Conservative,2 people,Full-time employment
1823,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,Associate's degree,White,,Married,Roman Catholic,A few times a year,Republican,,Very conservative,2,Retired
1824,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,High school graduate,Black,"Yes, a citizen of the United States",Married,Other,Seldom,,,Moderate,3 people,Part-time employment
1825,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,Associate's degree,White,,Married,Other,More than once a week,Republican,,Very conservative,3,Retired
1827,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",Never been married,Protestant,Never,Democrat,"Less than $30,000",Liberal,1 person,Retired
1828,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Never been married,Roman Catholic,Seldom,Democrat,"\$30,000-\$50,000",Very liberal,1 person,Full-time employment
1830,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,High school graduate,White,"Yes, a citizen of the United States",Never been married,Atheist,Never,,,Liberal,2 people,Self-employed
1831,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,High school graduate,Hispanic,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,Democrat,"Less than $30,000",Very liberal,2 people,Unemployed
1836,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,High school graduate,Hispanic,"Yes, a citizen of the United States",,Nothing in particular,Never,Republican,"Less than $30,000",Conservative,2 people,Retired
1838,"Lives in the South region of the United States (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL).",Female.,50-64 years old.,"Some college, no degree.",White.,"Yes, a citizen of the United States.",,Protestant.,Seldom attends religious services (aside from weddings and funerals).,Republican.,"\$50,000-\$75,000 per year.",Conservative.,2 people.,Self-employed.
1839,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,High school graduate,Other,,Never been married,Atheist,Never,,,Liberal,1,Full-time employment
1843,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,"Some college, no degree",White,"Yes, a citizen of the United States",Never been married,Other,Once a week,,,Conservative,2 people,Part-time employment
1848,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,"Some college, no degree",Other,,Married,Other,A few times a year,Independent,,Moderate,More than 4,Part-time employment
1849,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,High school graduate,White,,Never been married,Atheist,Never,Democrat,,Liberal,4 people,Unemployed
1854,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,Associate's degree,White,"Yes, a citizen of the United States",Never been married,Roman Catholic,Seldom,Republican,"Less than $30,000",Moderate,3 people,Part-time employment
1857,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,College graduate/some postgrad,White,,Never been married,Atheist,Never,Democrat,,Very liberal,1 person,Part-time employment
1859,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,College graduate/some postgrad,Other,,,Orthodox,More than once a week,Independent,,Moderate,3 people,Full-time employment
1860,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Postgraduate,Hispanic,"Yes, a citizen of the United States",Married,Protestant,Once a week,Republican,,Very conservative,4 people,Full-time employment
